GeneID,Experiment,Expression_Change
Zm00001d010670,Salicylic acid,Increases under treatment
Zm00001d010671,Salicylic acid,Increases under treatment
Zm00001d010693,Salicylic acid,Decreases under treatment
Zm00001d010870,Salicylic acid,Increases under treatment
Zm00001d010957,Salicylic acid,Decreases under treatment
Zm00001d011080,Salicylic acid,Increases under treatment
Zm00001d011193,Salicylic acid,Increases under treatment
Zm00001d011311,Salicylic acid,Decreases under treatment
Zm00001d011393,Salicylic acid,Increases under treatment
Zm00001d011413,Salicylic acid,Increases under treatment
Zm00001d011417,Salicylic acid,Increases under treatment
Zm00001d011422,Salicylic acid,Increases under treatment
Zm00001d011426,Salicylic acid,Increases under treatment
Zm00001d011451,Salicylic acid,Increases under treatment
Zm00001d011458,Salicylic acid,Increases under treatment
Zm00001d011459,Salicylic acid,Increases under treatment
Zm00001d011477,Salicylic acid,Increases under treatment
Zm00001d011527,Salicylic acid,Increases under treatment
Zm00001d011599,Salicylic acid,Decreases under treatment
Zm00001d011614,Salicylic acid,Increases under treatment
Zm00001d011778,Salicylic acid,Increases under treatment
Zm00001d011838,Salicylic acid,Increases under treatment
Zm00001d011843,Salicylic acid,Increases under treatment
Zm00001d011887,Salicylic acid,Decreases under treatment
Zm00001d011925,Salicylic acid,Increases under treatment
Zm00001d011967,Salicylic acid,Increases under treatment
Zm00001d011968,Salicylic acid,Increases under treatment
Zm00001d011970,Salicylic acid,Decreases under treatment
Zm00001d012010,Salicylic acid,Increases under treatment
Zm00001d012045,Salicylic acid,Decreases under treatment
Zm00001d012304,Salicylic acid,Increases under treatment
Zm00001d012307,Salicylic acid,Decreases under treatment
Zm00001d012321,Salicylic acid,Increases under treatment
Zm00001d012322,Salicylic acid,Increases under treatment
Zm00001d012325,Salicylic acid,Decreases under treatment
Zm00001d012378,Salicylic acid,Increases under treatment
Zm00001d012398,Salicylic acid,Increases under treatment
Zm00001d012402,Salicylic acid,Increases under treatment
Zm00001d012407,Salicylic acid,Increases under treatment
Zm00001d012420,Salicylic acid,Increases under treatment
Zm00001d012427,Salicylic acid,Increases under treatment
Zm00001d012484,Salicylic acid,Increases under treatment
Zm00001d012561,Salicylic acid,Increases under treatment
Zm00001d012567,Salicylic acid,Increases under treatment
Zm00001d012581,Salicylic acid,Increases under treatment
Zm00001d012585,Salicylic acid,Increases under treatment
Zm00001d012591,Salicylic acid,Increases under treatment
Zm00001d012603,Salicylic acid,Increases under treatment
Zm00001d012607,Salicylic acid,Increases under treatment
Zm00001d012612,Salicylic acid,Decreases under treatment
Zm00001d012674,Salicylic acid,Increases under treatment
Zm00001d012709,Salicylic acid,Increases under treatment
Zm00001d012718,Salicylic acid,Increases under treatment
Zm00001d012892,Salicylic acid,Increases under treatment
Zm00001d012918,Salicylic acid,Decreases under treatment
Zm00001d012967,Salicylic acid,Increases under treatment
Zm00001d012968,Salicylic acid,Increases under treatment
Zm00001d013003,Salicylic acid,Increases under treatment
Zm00001d013050,Salicylic acid,Decreases under treatment
Zm00001d013080,Salicylic acid,Increases under treatment
Zm00001d013081,Salicylic acid,Decreases under treatment
Zm00001d013099,Salicylic acid,Increases under treatment
Zm00001d013108,Salicylic acid,Increases under treatment
Zm00001d013112,Salicylic acid,Increases under treatment
Zm00001d013185,Salicylic acid,Increases under treatment
Zm00001d013230,Salicylic acid,Decreases under treatment
Zm00001d013244,Salicylic acid,Increases under treatment
Zm00001d013245,Salicylic acid,Increases under treatment
Zm00001d013370,Salicylic acid,Increases under treatment
Zm00001d013377,Salicylic acid,Increases under treatment
Zm00001d013385,Salicylic acid,Increases under treatment
Zm00001d013565,Salicylic acid,Increases under treatment
Zm00001d013644,Salicylic acid,Increases under treatment
Zm00001d013671,Salicylic acid,Increases under treatment
Zm00001d013741,Salicylic acid,Decreases under treatment
Zm00001d013746,Salicylic acid,Decreases under treatment
Zm00001d013751,Salicylic acid,Increases under treatment
Zm00001d013830,Salicylic acid,Increases under treatment
Zm00001d013849,Salicylic acid,Increases under treatment
Zm00001d013907,Salicylic acid,Increases under treatment
Zm00001d013958,Salicylic acid,Increases under treatment
Zm00001d014063,Salicylic acid,Increases under treatment
Zm00001d014083,Salicylic acid,Increases under treatment
Zm00001d014244,Salicylic acid,Increases under treatment
Zm00001d014258,Salicylic acid,Increases under treatment
Zm00001d014258,Salicylic acid,Increases under treatment
Zm00001d014258,Salicylic acid,Increases under treatment
Zm00001d014456,Salicylic acid,Decreases under treatment
Zm00001d014611,Salicylic acid,Increases under treatment
Zm00001d014614,Salicylic acid,Increases under treatment
Zm00001d014717,Salicylic acid,Increases under treatment
Zm00001d014748,Salicylic acid,Increases under treatment
Zm00001d014757,Salicylic acid,Increases under treatment
Zm00001d014804,Salicylic acid,Increases under treatment
Zm00001d014826,Salicylic acid,Decreases under treatment
Zm00001d014840,Salicylic acid,Increases under treatment
Zm00001d014843,Salicylic acid,Increases under treatment
Zm00001d014863,Salicylic acid,Increases under treatment
Zm00001d014945,Salicylic acid,Increases under treatment
Zm00001d015053,Salicylic acid,Increases under treatment
Zm00001d015054,Salicylic acid,Increases under treatment
Zm00001d015091,Salicylic acid,Increases under treatment
Zm00001d015092,Salicylic acid,Increases under treatment
Zm00001d015198,Salicylic acid,Decreases under treatment
Zm00001d015201,Salicylic acid,Increases under treatment
Zm00001d015268,Salicylic acid,Decreases under treatment
Zm00001d015330,Salicylic acid,Increases under treatment
Zm00001d015361,Salicylic acid,Decreases under treatment
Zm00001d015459,Salicylic acid,Increases under treatment
Zm00001d015627,Salicylic acid,Increases under treatment
Zm00001d015638,Salicylic acid,Increases under treatment
Zm00001d015720,Salicylic acid,Decreases under treatment
Zm00001d015721,Salicylic acid,Increases under treatment
Zm00001d015772,Salicylic acid,Decreases under treatment
Zm00001d016009,Salicylic acid,Increases under treatment
Zm00001d016166,Salicylic acid,Increases under treatment
Zm00001d016237,Salicylic acid,Increases under treatment
Zm00001d016255,Salicylic acid,Increases under treatment
Zm00001d016274,Salicylic acid,Decreases under treatment
Zm00001d016277,Salicylic acid,Increases under treatment
Zm00001d016401,Salicylic acid,Increases under treatment
Zm00001d016542,Salicylic acid,Increases under treatment
Zm00001d016558,Salicylic acid,Increases under treatment
Zm00001d016616,Salicylic acid,Increases under treatment
Zm00001d016664,Salicylic acid,Increases under treatment
Zm00001d016698,Salicylic acid,Decreases under treatment
Zm00001d016765,Salicylic acid,Increases under treatment
Zm00001d016841,Salicylic acid,Increases under treatment
Zm00001d016878,Salicylic acid,Decreases under treatment
Zm00001d016891,Salicylic acid,Increases under treatment
Zm00001d016922,Salicylic acid,Increases under treatment
Zm00001d017046,Salicylic acid,Decreases under treatment
Zm00001d017121,Salicylic acid,Increases under treatment
Zm00001d017176,Salicylic acid,Increases under treatment
Zm00001d017186,Salicylic acid,Increases under treatment
Zm00001d017271,Salicylic acid,Increases under treatment
Zm00001d017274,Salicylic acid,Increases under treatment
Zm00001d017275,Salicylic acid,Increases under treatment
Zm00001d017374,Salicylic acid,Increases under treatment
Zm00001d017380,Salicylic acid,Increases under treatment
Zm00001d017381,Salicylic acid,Increases under treatment
